,Accuracy,Precision,Recall,F1
Decision Tree,0.8115577889447236,0.7844827586206896,0.6453900709219859,0.708171206225681
Random Forest,0.8165829145728644,0.8090909090909091,0.6312056737588653,0.7091633466135459
